Sigla;Nome;Estrato;Indice.H;ISSN
3DIM;International Conference on 3'D Digital Imaging and Modeling;B1;29;
3DUI;IEEE Symposium on 3D User Interfaces;B2;18;
3PGCIC;International Conference on P2P, Parallel, Grid, Cloud, and Internet Computing;B4;4;
AAAI;Conference on Artificial Intelligence;A1;93;
AAECC;Applied algebra, Algebraic algorithms, and Error Correcting Codes;B2;17;
AAIM;Algorithmic Applications in Management;B3;14;
AAIP;Workshop on Approaches and Applications of Inductive Programming;B5;3;
AAMAS;International Joint Conference on Autonomous Agents and Multiagents Systems;A1;84;
ABiALS;Anticipatory Behavior in Adaptive Learning Systems;B3;14;
ABS;Agent'based Simulation Workshop;B4;5;
ABZ;Abstract State Machines, Alloy, B and Z;B2;18;
AC;IADIS International Conference on Applied Computing;B4;9;
ACC;American Control Conference;A1;76;
ACE;Australasian Conference on Computing Education;B2;21;
ACE_A;International Conference on Advances in Computer Entertainment Technology;B1;30;
ACHI;International Conference on Advances in Computer'Human Interaction;B3;11;
ACiD;Algorithms and Complexity in Durham;B4;6;
ACII;International Conference on Affective Computing and Intelligent Interaction;B1;24;
ACIIDS;Asian Conference on Intelligent Information and Database Systems;B4;7;
ACIL;Advances in Computational Intelligence and Learning;B4;9;
ACIS'ICIS;International Conference on Computer and Information Science;B3;15;
ACIVS;Advanced Concepts for Intelligent Vision Systems Conference;B2;18;
ACL;International Conference of the Association of Computational Linguistics;A1;110;
ACL2;Workshop on the ACL2 Theorem Prover and Its Applications;B3;12;
ACMC;Australasian Computer Music Conference;B4;9;
ACNS;International Conference on Applied Cryptography and Network Security;B1;34;
ACOM;International Workshop on Assessment of Contemporary Modularization Techniques;B5;3;
ACRI;International Conference on Cellular Automata for Research and Industry;B2;20;
ACSAC;Annual Computer Security Applications Conference;A1;63;
ACSD;International Conference on Application of Concurrency to System Design;B1;23;
Ada'Europe;International Conference on Reliable Software Technologies;B2;18;
ADBIS;Symposium on Advances in Database and Information Systems;B1;24;
ADC;Australasian Database Conference;B1;32;
AdCom;International Conference on Advanced Computing and Communications;B3;12;
ADHOC'NOW;International Conference on AD'HOC Networks and Wireless;B1;22;
ADHOCNETS;International Conference on Ad Hoc Networks;B5;2;
ADMA;International Conference on Advanced Data Mining and Applications;B2;18;
ADMI;International Workshop on Agents and Data Mining Interaction;B5;3;
ADPRL;IEEE International Symposium on Approximate Dynamic Programming and Reinforcement Learning;B3;13;
ADS;Agent'Directed Simulation Symposium;B5;3;
ADT;Algorithmic Decision Theory;B4;7;
AEM;International Conference on Applied and Engineering Mathematics;B4;6;
AES'Brasil;Audio Engineering Society ' Brasil;B5;2;
AFRICACRYPT;International Conference on Cryptology in Africa;B3;15;
AGI;Artificial General Intelligence;B4;9;
Agile;Agile Development Conference;B1;26;
AGILE_A;AGILE Conference on Geographic Information Science;B3;10;
AGO;International Conference on Advances In Global Optimization: Methods and Applications;B5;2;
AGS;Agents for Games and Simulations;B4;6;
AI;Canadian Conference on Artificial Intelligence;B1;24;
AI*IA;Congress of the Italian Association for Artificial Intelligence;B3;15;
AIA;Artificial Intelligence and Applications Conference;B4;6;
AIAI;IFIP International Conference on Artificial Intelligence Applications and Innovations;B4;10;
AICCSA;ACS/IEEE International Conference on Computer Systems and Applications;B1;23;
AICT;Advanced International Conference on Telecommunications;B1;22;
AIED;International Conference on Artificial Intelligence in Education;B1;29;
AIED_A;Workshop on Motivation and Affect in Educational Software;B5;3;
AIIDE;Artificial Intelligence and Interactive Digital Entertainment;B2;19;
AIME;Conference on Artificial Intelligence in Medicine in Europe;B2;19;
AiML;Advances in Modal Logic;B3;15;
AIMS;Autonomous Infrastructure, Management and Security;B4;9;
AIMSA;Artificial Intelligence: Methodology, Systems, Applications;B2;16;
AINA;International Conference on Advanced Information Networking and Applications;A2;39;
AIRS;Asia Information Retrieval Symposium;B3;14;
AIS;SIGED International Conference on Informatics Education and Research;B5;2;
AISAT;International Conference on Artificial Intelligence in Science and Technology;B5;2;
AISC;International Conference on Artificial Intelligence and Symbolic Computing;B3;13;
AISec;AI & Security Workshop;B4;9;
AISM;Australian Information Security Management Conference;B4;8;
ALAMAS;European Symposium on Adaptive Learning Agents and Multi'Agent Systems;B5;3;
ALENEX;Workshop on Algorithm Engineering and Experiments;B1;27;
ALG;Workshop on Algorithm Engineering;B1;22;
AlgOR;International conference on Algorithmic Operations Research and Operations Research Case Competition;B4;8;
ALGOSENSORS;Algorithmic Aspects of Wireless Sensor Networks;B3;15;
ALIFE;IEEE Symposium on Artificial Life;B4;6;
ALIFE_A;International Conference on the Simulation and Synthesis of Living Systems;B2;19;
ALIO/EURO;Conference on Combinatorial Optimization;B5;3;
ALPIT;International Conference on Advanced Language Processing and Web Information Technology;B4;7;
ALT;International Conferences on Algorithmic Learning Theory;B1;24;
ALTA;Australasian Language Technology Association Workshop;B4;5;
AMAI;International Symposium on Artificial Intelligence and Mathematics;B3;15;
AMAS'BT;Workshop on Architectural and Microarchitectural Support for Binary Translation;B5;1;
AMAST;International Conference on Algebraic Methodology and Software Technology;B1;27;
AMCIS;Americas Conference on Information Systems;B1;32;
AMCS;International Conference on Algorithmic Mathematics and Computer Science;B5;2;
AMIA;AMIA Annual Symposium;A2;39;
AMINING;Active Mining;B4;6;
AMS;Autonome Mobile Systeme;B4;9;
AMSTA;Agent and Multi'Agent Systems: Technologies and Applications;B3;13;
AMTA;Conference of the Association for Machine Translation in the Americas;B4;4;
AMW;Alberto Mendelzon International Workshop on Foundations of Data Management;B4;5;
ANALCO;Workshop on Analytic Algorithms and Combinatorics;B4;8;
ANCS;Symposium On Architecture For Networking And Communications Systems;B1;25;
ANDESCON;IEEE Andean Region International Conference;B4;4;
ANIREM;Workshop on Agents Norms and Institutions for Regulated Multiagent Systems;B5;1;
ANNPR;IAPR International Workshop on Artificial Neural Networks in Pattern;B4;8;
ANPPOM;Congresso da Associação Nacional de Pesquisa e Pós'Graduação em Música;B5;1;
ANSS;Annual Simulation Symposium;B1;28;
ANTS;International Symposium on Algorithmic Number Theory;B1;27;
ANTS_A;International Workshop on Ant Colony Optimization and Swarm Intelligence;B4;10;
ANTS_C;International Symposium on Advanced Networks and Telecommunication Systems;B4;6;
